Domain,Host,Process,AgentName,Resource,MetricName,Record_Type,Period,Intended_End_Timestamp,Actual_Start_Timestamp,Actual_End_Timestamp,Count,Type,Value,Min,Max,String_Value
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,95,1025,3,2,12,3
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,94,1025,6,4,10,6
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,94,1025,6,5,10,6
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,94,1025,7,6,12,7
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,94,1025,6,4,11,6
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,95,1025,1,1,3,1
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,95,1025,4,3,8,4
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,95,1025,6,4,9,6
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,95,1025,6,5,8,6
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,95,1025,5,4,9,5
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,95,1025,1,1,5,1
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,95,1025,4,3,9,4
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,94,1025,5,3,10,5
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,94,1025,6,5,10,6
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,95,1025,5,3,10,5
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,94,1025,2,1,7,2
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,94,1025,9,9,12,9
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,95,1025,10,7,14,10
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,95,1025,9,6,12,9
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,94,1025,9,8,13,9
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,87,1025,2,2,5,2
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,86,1025,10,5,14,10
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,87,1025,10,6,16,10
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,87,1025,9,5,15,9
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,87,1025,10,8,15,10
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,70,1025,3,2,8,3
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,79,1025,13,11,17,13
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,68,1025,16,15,18,16
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,71,1025,14,13,17,14
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,66,1025,16,14,19,16
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,95,1025,5,5,9,5
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,66,1025,12,11,15,12
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,94,1025,15,12,17,15
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,93,1025,13,12,20,13
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,89,1025,14,13,18,14
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,66,1025,7,5,10,7
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,53,1025,13,13,15,13
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,43,1025,14,13,15,14
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,66,1025,16,14,19,16
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,66,1025,15,15,17,15
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Work processes|BTC,Running,?,1440,2013-06-26 14:36:00.0,2013-06-26 14:36:00.0,2013-06-26 15:00:00.0,4,1025,0,0,0,0
