Domain,Host,Process,AgentName,Resource,MetricName,Record_Type,Period,Intended_End_Timestamp,Actual_Start_Timestamp,Actual_End_Timestamp,Count,Type,Value,Min,Max,String_Value
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,188,1025,73,41,91,73
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,189,1025,5,1,13,5
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,190,1025,49,41,59,49
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,188,1025,83,66,97,83
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,188,1025,67,48,83,67
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,189,1025,68,53,92,68
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,190,1025,48,37,66,48
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,191,1025,1,0,6,1
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,190,1025,47,36,61,47
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,190,1025,84,73,97,84
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,189,1025,47,36,61,47
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,189,1025,57,34,86,57
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,191,1025,54,45,66,54
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,188,1025,2,0,6,2
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,188,1025,60,39,78,60
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,190,1025,69,58,91,69
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,190,1025,40,28,57,40
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,40,32,48,40
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,188,1025,77,66,90,77
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,191,1025,1,1,5,1
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,191,1025,75,67,84,75
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,190,1025,66,42,82,66
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,190,1025,59,43,69,59
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,189,1025,26,19,43,26
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,190,1025,41,1,76,41
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,189,1025,1,0,4,1
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,189,1025,63,25,87,63
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,189,1025,43,19,65,43
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,188,1025,30,5,57,30
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,190,1025,31,14,51,31
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,191,1025,15,0,54,15
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,189,1025,1,0,7,1
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,190,1025,24,0,71,24
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,20,6,47,20
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,191,1025,13,0,47,13
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,189,1025,20,12,33,20
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,190,1025,24,1,44,24
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,190,1025,1,0,7,1
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,191,1025,15,1,39,15
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,190,1025,21,6,54,21
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,189,1025,14,1,37,14
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,191,1025,17,7,28,17
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,189,1025,17,0,29,17
SuperDomain,hcbiwp01,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,191,1025,2,1,6,2
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 13:48:00.0,2013-06-26 13:48:00.0,2013-06-26 14:12:00.0,190,1025,12,0,30,12
