Domain,Host,Process,AgentName,Resource,MetricName,Record_Type,Period,Intended_End_Timestamp,Actual_Start_Timestamp,Actual_End_Timestamp,Count,Type,Value,Min,Max,String_Value
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,2,2,4,2
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,0,0,0,0
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,4,2,6,4
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,2,2,4,2
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,3,3,5,3
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,3,3,5,3
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,10,8,11,10
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,4,3,6,4
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,189,1025,68,53,92,68
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,6,2,10,6
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,3,3,4,3
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,1,1,2,1
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,0,0,0,0
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,3,3,4,3
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,2,2,2,2
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,2,2,3,2
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,2,2,3,2
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|CPU,Utilization (%),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,9,9,10,9
