Domain,Host,Process,AgentName,Resource,MetricName,Record_Type,Period,Intended_End_Timestamp,Actual_Start_Timestamp,Actual_End_Timestamp,Count,Type,Value,Min,Max,String_Value
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,158130358,141604180,165283848,158130358
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,416186859,416168112,416203028,416186859
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,85759221,70175844,93323756,85759221
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,114623474,104589388,119036024,114623474
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,91528786,77222968,98186432,91528786
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,39271224,36345932,45863628,39271224
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,152482374,144898484,156886116,152482374
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,103970375,96940840,108007240,103970375
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,248687817,66409708,287917032,248687817
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,189,1025,6637111,2603740,8504812,6637111
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:00:00.0,2013-06-26 11:00:00.0,2013-06-26 11:24:00.0,192,1025,113948191,106855976,118169048,113948191
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,158455289,157758416,159389116,158455289
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,416172217,416007208,416201364,416172217
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,92184687,91853904,92348620,92184687
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,114616655,114264992,114781144,114616655
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,95281226,84884704,96980324,95281226
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,43967608,28621356,68985552,43967608
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,149937605,110571716,152410860,149937605
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,100432892,85800968,103934872,100432892
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,286579879,286415872,286772640,286579879
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,189,1025,4694777,233228,8291584,4694777
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:24:00.0,2013-06-26 11:24:00.0,2013-06-26 11:48:00.0,192,1025,109491086,108600620,113845340,109491086
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,159586127,157206112,160950844,159586127
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,416165914,415933528,416199812,416165914
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,93968863,91941232,95572932,93968863
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,117512908,114181772,119404712,117512908
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,86938283,84394836,87935708,86938283
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,50829885,46341376,52250044,50829885
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,152026883,55438028,164687080,152026883
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,86801173,79566868,88685824,86801173
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,288316639,286199728,290218544,288316639
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,11434365,7179532,12260824,11434365
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 11:48:00.0,2013-06-26 11:48:00.0,2013-06-26 12:12:00.0,192,1025,109741543,108575544,110594980,109741543
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,160435732,154264072,161358936,160435732
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,416163439,415922208,416196064,416163439
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,93791800,80457424,95573616,93791800
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,119343820,119277984,119378444,119343820
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,87260552,85034636,87914132,87260552
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,43279641,37152456,46341376,43279641
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,163421377,156153228,164673164,163421377
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,84477769,83615092,84643188,84477769
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,191,1025,289955776,289694128,290049060,289955776
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,189,1025,11638819,10656828,12233576,11638819
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:12:00.0,2013-06-26 12:12:00.0,2013-06-26 12:36:00.0,192,1025,109810315,106811048,110564420,109810315
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,152772753,138870952,156606508,152772753
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,416155098,415840716,416201708,416155098
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,80696066,77962108,81739596,80696066
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,118858567,118535108,119285240,118858567
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,86087473,85747224,86155648,86087473
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,41715445,29712396,64275244,41715445
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,157356628,152693412,159063988,157356628
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,78584819,74032124,83959332,78584819
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,193,1025,285493099,278491404,289694128,285493099
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,190,1025,10976258,10629496,11588788,10976258
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 12:36:00.0,2013-06-26 12:36:00.0,2013-06-26 13:00:00.0,192,1025,100482155,96198744,106823332,100482155
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,125263514,116506016,151780124,125263514
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,416154366,415916696,416191320,416154366
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,191,1025,74845464,59702856,78931916,74845464
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,118720155,118118564,118924748,118720155
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,86120037,85898764,86185748,86120037
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,50006440,43701732,64275244,50006440
SuperDomain,hcb14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,152481451,150100656,155820384,152481451
SuperDomain,hcb12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,131693572,56300232,223715804,131693572
SuperDomain,hcc13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,191,1025,274203119,268414624,278491404,274203119
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,189,1025,11154729,10603108,12148616,11154729
SuperDomain,hcd11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:00:00.0,2013-06-26 13:00:00.0,2013-06-26 13:24:00.0,192,1025,99798299,99663924,100071716,99798299
SuperDomain,hcc14p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,102598649,78430884,119060704,102598649
SuperDomain,hcd12p00,SAP HostAgent Process,SAP HostAgent SMDA97,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,416153579,415852980,416197944,416153579
SuperDomain,hcc12p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,73091939,60228360,76406260,73091939
SuperDomain,hcb13p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,116357043,110587708,118172792,116357043
SuperDomain,hcc11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,86007130,85707684,86109280,86007130
SuperDomain,hcb11p00,SAP HostAgent Process,SAP HostAgent SMDA98,SAP OsCol|Memory,FreeMemory (KB),?,1440,2013-06-26 13:24:00.0,2013-06-26 13:24:00.0,2013-06-26 13:48:00.0,192,1025,37000553,20271620,46831272,37000553
